Window Title	Application Name	Typed Words	Timestamp
 accessFolder 	 at Wed Oct 16 10:27:20 2019] [SHIFT].	na	Date: 16 10 2019]  Time: 10:27:20
 Delete File 	 at Wed Oct 16 10:27:21 2019] 	na	Date: 16 10 2019  Time: 10:27:21
  	 at Wed Oct 16 10:29:21 2019] [SHIFT]R	na	Date: 16 10 2019]  Time: 10:29:21
 Clueweb Search Interface 	 Google Chrome 	ac	Date: 16 10 2019]  Time: 10:31:24
 New Text Document (3) 	 Notepad 	  	Date: 16 10 2019  Time: 10:37:20
 *New Text Document (3) 	 Notepad 	hat kind of departments and jobs can people apply for	Date: 16 10 2019]  Time: 10:37:20
  	 at Wed Oct 16 10:37:44 2019] e	 e	Date: 16 10 2019  Time: 10:37:44
 *New Text Document (3) 	 Notepad 	able about the 	Date: 16 10 2019]  Time: 10:38:24
 Clueweb Search Interface 	 Google Chrome 	na	Date: 16 10 2019]  Time: 10:38:44
 *New Text Document (3) 	 Notepad 	 title seems interesting but the content are not relevant 	Date: 16 10 2019]  Time: 10:38:47
  	 at Wed Oct 16 10:42:08 2019] mm	 mm	Date: 16 10 2019  Time: 10:42:08
 *New Text Document (3) 	 Notepad 	na	Date: 16 10 2019]  Time: 10:42:47
 Clueweb Search Interface 	 Google Chrome 	na	Date: 16 10 2019]  Time: 10:43:31
 *New Text Document (3) 	 Notepad 		Date: 16 10 2019]  Time: 10:43:41
 Clueweb Search Interface 	 Google Chrome 	na	Date: 16 10 2019]  Time: 10:50:51
 *New Text Document (3) 	 Notepad 	na	Date: 16 10 2019  Time: 10:53:17
 Clueweb Search Interface 	 Google Chrome 	na	Date: 16 10 2019]  Time: 10:56:59
 *New Text Document (3) 	 Notepad 	na	Date: 16 10 2019  Time: 11:00:12
  	 at Wed Oct 16 11:04:01 2019] lai	 lai	Date: 16 10 2019  Time: 11:04:01
 *New Text Document (3) 	 Notepad 	na	Date: 16 10 2019]  Time: 11:04:21
 Clueweb Search Interface 	 Google Chrome 	na	Date: 16 10 2019]  Time: 11:04:36
 *New Text Document (3) 	 Notepad 	na	Date: 16 10 2019  Time: 11:06:21
  	 at Wed Oct 16 11:10:04 2019] [BACKSPACE][BACKSPACE]		Date: 16 10 2019]  Time: 11:10:04
 *New Text Document (3) 	 Notepad 	na	Date: 16 10 2019]  Time: 11:10:21
 Clueweb Search Interface 	 Google Chrome 	na	Date: 16 10 2019]  Time: 11:12:10
 *New Text Document (3) 	 Notepad 	na	Date: 16 10 2019  Time: 11:12:25
  	 at Wed Oct 16 11:15:12 2019] ri	 ri	Date: 16 10 2019  Time: 11:15:12
 *New Text Document (3) 	 Notepad 	 is a good word for query reformulation 	Date: 16 10 2019]  Time: 11:15:19
 Clueweb Search Interface 	 Google Chrome 	na	Date: 16 10 2019]  Time: 11:16:54
