Window Title	Application Name	Typed Words	Timestamp
 DesktopTracker	master 	na	Date: 31 10 2019]  Time: 10:46:58
 dist 	 at Thu Oct 31 10:47:14 2019] [CONTROL]v	na	Date: 31 10 2019]  Time: 10:47:14
 DesktopTracker	master 	na	Date: 31 10 2019]  Time: 10:47:27
 dist 	 at Thu Oct 31 10:47:34 2019] [CONTROL][CONTROL][CONTROL][CONTROL][CONTROL]v	na	Date: 31 10 2019]  Time: 10:47:34
 DesktopActivityTracker 	 at Thu Oct 31 10:48:21 2019] [CONTROL][CONTROL][CONTROL]C	na	Date: 31 10 2019]  Time: 10:48:21
 DesktopTracker	master 	na	Date: 31 10 2019]  Time: 10:48:30
 dist 	 at Thu Oct 31 10:48:35 2019] [CONTROL]V	na	Date: 31 10 2019]  Time: 10:48:35
 94% complete 	 at Thu Oct 31 10:48:36 2019] [CONTROL]		Date: 31 10 2019]  Time: 10:48:36
 Search 	 at Thu Oct 31 10:48:47 2019] CMD	 cmd	Date: 31 10 2019  Time: 10:48:47
 Command Prompt 	 at Thu Oct 31 10:48:51 2019] CD [SHIFT]down[TAB]		Date: 31 10 2019]  Time: 10:48:51
 DesktopTracker	master 	na	Date: 31 10 2019]  Time: 10:49:43
 dist 	 at Thu Oct 31 10:49:47 2019] [CONTROL]v	na	Date: 31 10 2019]  Time: 10:49:47
 DesktopTracker 	 at Thu Oct 31 10:50:46 2019] [CONTROL]c[CONTROL][CONTROL][CONTROL]c	na	Date: 31 10 2019]  Time: 10:50:46
 dist 	 at Thu Oct 31 10:51:20 2019] [CONTROL]v	na	Date: 31 10 2019]  Time: 10:51:20
 DesktopTracker 	 at Thu Oct 31 10:51:26 2019] [CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL]c	na	Date: 31 10 2019]  Time: 10:51:26
 dist 	 at Thu Oct 31 10:51:33 2019] [CONTROL][CONTROL][CONTROL][CONTROL][CONTROL]v	na	Date: 31 10 2019]  Time: 10:51:33
 accessFolder 	 at Thu Oct 31 10:51:40 2019] [CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL]a[SHIFT].	na	Date: 31 10 2019]  Time: 10:51:40
 Delete Multiple Items 	 at Thu Oct 31 10:51:44 2019] 	na	Date: 31 10 2019  Time: 10:51:44
 logs 	 at Thu Oct 31 10:52:05 2019] [SHIFT].	na	Date: 31 10 2019]  Time: 10:52:05
 Delete File 	 at Thu Oct 31 10:52:06 2019] 	na	Date: 31 10 2019  Time: 10:52:06
 logs 	 at Thu Oct 31 10:52:08 2019] [CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][SHIFT].	na	Date: 31 10 2019]  Time: 10:52:08
 Delete Multiple Items 	 at Thu Oct 31 10:52:12 2019] 	na	Date: 31 10 2019  Time: 10:52:12
 DesktopActivityTracker 	 at Thu Oct 31 10:52:35 2019] [CONTROL][CONTROL][CONTROL]c	na	Date: 31 10 2019]  Time: 10:52:35
 dist 	 at Thu Oct 31 10:52:43 2019] [CONTROL]v	na	Date: 31 10 2019]  Time: 10:52:43
 DesktopTracker 	 at Thu Oct 31 10:52:50 2019] [CONTROL]v	na	Date: 31 10 2019]  Time: 10:52:50
 Instruction 	 Notepad 		Date: 31 10 2019]  Time: 10:53:23
 *Instruction 	 Notepad 	na	Date: 31 10 2019]  Time: 10:53:56
 procheta@vma42: ~/softwares/apache	tomcat 8.5.11/webapps  	 git 	Date: 31 10 2019  Time: 10:54:26
 aneto.computing.dcu.ie 	 PuTTY 	 its  me	Date: 31 10 2019  Time: 10:54:39
 Instruction 	 Notepad 	ac	Date: 31 10 2019]  Time: 10:56:49
 Editing DesktopTracker/README.md at master  procheta/DesktopTracker 	 Google Chrome 	na	Date: 31 10 2019]  Time: 10:56:57
 aneto.computing.dcu.ie 	 PuTTY 	turing scss tcd ie	Date: 31 10 2019]  Time: 10:58:09
 procheta@vma42: ~ 	 at Thu Oct 31 10:58:35 2019] 	na	Date: 31 10 2019  Time: 10:58:35
 procheta@vma42: ~/softwares/apache	tomcat 8.5.11  		Date: 31 10 2019]  Time: 10:58:49
 procheta@vma42: ~/softwares/apache	tomcat 8.5.11/logs  	 ls ltr	Date: 31 10 2019  Time: 10:58:52
 DesktopTracker 	 at Thu Oct 31 11:00:49 2019] [CONTROL]c	na	Date: 31 10 2019]  Time: 11:00:49
 dist 	 at Thu Oct 31 11:00:53 2019] [CONTROL]v	na	Date: 31 10 2019]  Time: 11:00:53
 DesktopTracker 	 NetBeans IDE 8.2 		Date: 31 10 2019]  Time: 11:02:17
 Search 	 at Thu Oct 31 11:03:27 2019] CMD	 cmd	Date: 31 10 2019  Time: 11:03:27
 DesktopTracker	master 	na	Date: 31 10 2019]  Time: 11:03:55
 dist 	 at Thu Oct 31 11:03:58 2019] [CONTROL][CONTROL]V	na	Date: 31 10 2019]  Time: 11:03:58
  	 at Thu Oct 31 11:04:10 2019] CD 	 cd 	Date: 31 10 2019  Time: 11:04:10
 Command Prompt 	 at Thu Oct 31 11:04:18 2019] CD [SHIFT]downl[TAB]		Date: 31 10 2019]  Time: 11:04:18
 accessFolder 	 at Thu Oct 31 11:05:27 2019] [CONTROL]A[SHIFT].	na	Date: 31 10 2019]  Time: 11:05:27
 Delete Multiple Items 	 at Thu Oct 31 11:05:29 2019] 	na	Date: 31 10 2019  Time: 11:05:29
 DesktopTracker 	 NetBeans IDE 8.2 	na	Date: 31 10 2019]  Time: 11:06:16
